iter	Passed	Remaining
294	584	1396
295	585	1393
296	587	1391
297	589	1388
298	591	1385
299	592	1383
300	594	1381
301	596	1378
302	598	1376
303	599	1373
304	601	1371
305	603	1369
306	605	1366
307	607	1363
308	609	1362
309	610	1359
310	612	1356
311	614	1354
312	616	1352
313	617	1349
314	619	1347
315	621	1345
316	623	1342
317	624	1340
318	626	1337
319	628	1335
320	630	1332
321	631	1330
322	633	1328
323	635	1326
324	637	1323
325	639	1321
326	640	1318
327	642	1316
328	644	1313
329	645	1311
330	647	1309
331	649	1307
332	651	1304
333	653	1302
334	654	1299
335	656	1297
336	658	1295
337	660	1292
338	662	1291
339	664	1288
340	665	1286
341	667	1284
342	669	1282
343	670	1279
344	672	1277
345	674	1274
346	676	1272
347	678	1270
348	679	1268
349	681	1265
350	683	1263
351	685	1261
352	686	1258
353	688	1257
354	690	1254
355	692	1252
356	694	1250
357	695	1248
358	697	1245
359	699	1243
360	701	1240
361	702	1238
362	704	1236
363	706	1234
364	708	1231
365	710	1229
366	711	1227
367	713	1225
368	715	1222
369	716	1220
370	718	1218
371	720	1216
372	722	1213
373	723	1211
374	725	1209
375	727	1207
376	729	1204
377	731	1203
378	732	1200
379	734	1198
380	736	1196
381	738	1194
382	740	1192
383	741	1190
384	743	1188
385	745	1185
386	747	1183
387	748	1181
388	750	1179
389	752	1176
390	754	1174
391	755	1172
392	757	1170
393	759	1168
394	761	1166
395	763	1163
396	765	1162
397	766	1159
398	768	1157
399	770	1155
400	772	1153
401	773	1151
402	775	1148
403	777	1146
404	779	1144
405	780	1142
406	782	1140
407	784	1138
408	786	1135
409	787	1133
410	789	1131
411	791	1129
412	793	1127
413	794	1124
414	796	1122
415	798	1120
416	800	1118
417	802	1116
418	803	1114
419	805	1112
420	807	1110
421	809	1108
422	811	1106
423	812	1104
424	814	1102
425	816	1099
426	818	1097
427	819	1095
428	821	1093
429	823	1091
430	825	1089
431	826	1087
432	828	1084
433	830	1082
434	832	1080
435	833	1078
436	835	1076
437	837	1074
438	839	1072
439	840	1070
440	842	1067
441	844	1065
442	846	1063
443	847	1061
444	849	1059
445	851	1057
446	853	1055
447	855	1053
448	856	1051
449	858	1049
450	860	1047
451	862	1045
452	863	1043
453	865	1041
454	867	1039
