iter	Passed	Remaining
702	3929	1660
703	3934	1654
704	3940	1648
705	3945	1643
706	3950	1637
707	3956	1631
708	3961	1626
709	3967	1620
710	3972	1614
711	3977	1609
712	3983	1603
713	3988	1597
714	3993	1591
715	3999	1586
716	4004	1580
717	4010	1575
718	4015	1569
719	4020	1563
720	4026	1557
721	4031	1552
722	4036	1546
723	4042	1540
724	4047	1535
725	4052	1529
726	4057	1523
727	4063	1518
728	4068	1512
729	4073	1506
730	4078	1500
731	4084	1495
732	4089	1489
733	4094	1483
734	4099	1478
735	4105	1472
736	4110	1466
737	4115	1461
738	4121	1455
739	4126	1449
740	4132	1444
741	4137	1438
742	4142	1432
743	4147	1427
744	4152	1421
745	4158	1415
746	4163	1410
747	4169	1404
748	4174	1398
749	4179	1393
750	4185	1387
751	4190	1381
752	4195	1376
753	4201	1370
754	4206	1365
755	4211	1359
756	4217	1353
757	4222	1348
758	4228	1342
759	4233	1336
760	4238	1331
761	4244	1325
762	4249	1319
763	4254	1314
764	4260	1308
765	4265	1303
766	4270	1297
767	4276	1291
768	4281	1286
769	4286	1280
770	4292	1274
771	4297	1269
772	4302	1263
773	4307	1257
774	4313	1252
775	4318	1246
776	4323	1240
777	4329	1235
778	4334	1229
779	4339	1224
780	4345	1218
781	4350	1212
782	4356	1207
783	4361	1201
784	4366	1196
785	4372	1190
786	4377	1184
787	4382	1179
788	4388	1173
789	4393	1167
790	4398	1162
791	4403	1156
792	4409	1150
793	4416	1145
794	4421	1140
795	4427	1134
796	4432	1129
797	4438	1123
798	4443	1117
799	4448	1112
800	4454	1106
801	4459	1101
802	4465	1095
803	4470	1089
804	4475	1084
805	4481	1078
806	4486	1072
807	4492	1067
808	4497	1061
809	4503	1056
810	4508	1050
811	4514	1045
812	4519	1039
813	4524	1033
814	4529	1028
815	4535	1022
816	4540	1017
817	4545	1011
818	4551	1005
819	4556	1000
820	4561	994
821	4567	988
822	4572	983
823	4577	977
824	4582	972
825	4588	966
826	4593	961
827	4599	955
828	4604	949
829	4609	944
830	4615	938
831	4620	932
832	4625	927
833	4630	921
834	4636	916
835	4641	910
836	4646	904
837	4652	899
838	4657	893
839	4663	888
840	4668	882
841	4673	877
842	4679	871
843	4684	865
844	4689	860
845	4695	854
846	4700	849
847	4705	843
848	4710	837
849	4716	832
850	4721	826
851	4726	821
852	4732	815
853	4737	809
854	4742	804
855	4747	798
856	4753	793
857	4758	787
858	4763	781
859	4769	776
860	4774	770
861	4779	765
862	4784	759
863	4790	753
864	4795	748
865	4800	742
866	4806	737
867	4811	731
868	4816	726
869	4821	720
870	4827	714
871	4832	709
872	4837	703
873	4842	698
874	4848	692
875	4853	687
876	4859	681
877	4864	675
878	4869	670
879	4875	664
880	4880	659
881	4885	653
882	4890	648
883	4896	642
884	4901	636
885	4906	631
886	4912	625
887	4917	620
888	4922	614
889	4928	609
890	4933	603
891	4938	597
892	4943	592
893	4949	586
894	4954	581
